listing_path,location,unit_number,building_class,beds,size,rent,sun_exposure_cat,sun_exposure,floor
l-6rf9fvvrh22j,11226,6C,rental unit,2.0,,3400,No sunlight data,No sunlight data available and the rent is 3400,6
l-cms57t1abp2i,11226,706,rental unit,1.0,,2800,No sunlight data,No sunlight data available and the rent is 2800,7
l-lnn5usqallek,11238,2002,rental unit,1.0,,4300,No sunlight data,No sunlight data available and the rent is 4300,2
l-g8j4pjn9teps,11226,615,rental unit,1.0,,2866,No sunlight data,No sunlight data available and the rent is 2866,6
l-18h54qemldf5,11238,5,rental unit,2.0,,3350,No sunlight data,No sunlight data available and the rent is 3350,5
l-ce404lar05gn,11238,1,rental unit,2.0,850.0,4700,Bright & sun drenched,This apartment is bright & sun-drenched and the rent is 4700,1
l-6dqs8qgtgl4i,11238,10,rental unit,2.0,,5095,No sunlight data,No sunlight data available and the rent is 5095,1
l-22radm21mj5t,11226,704,rental unit,1.0,,2875,No sunlight data,No sunlight data available and the rent is 2875,7
l-nc7cr7f64994,11238,3617,rental unit,2.0,,6245,No sunlight data,No sunlight data available and the rent is 6245,3
l-o0rngdr2memc,11226,715,rental unit,1.0,,2959,No sunlight data,No sunlight data available and the rent is 2959,7
l-rlrfiibcmrn8,11215,4R,rental unit,0.0,240.0,2025,No sunlight data,No sunlight data available and the rent is 2025,4
l-3t4h7p4hsl3e,11210,803,rental unit,2.0,,4000,No sunlight data,No sunlight data available and the rent is 4000,8
l-cms57t1abp2i,11226,706,rental unit,1.0,,2800,No sunlight data,No sunlight data available and the rent is 2800,7
l-lnn5usqallek,11238,2002,rental unit,1.0,,4300,No sunlight data,No sunlight data available and the rent is 4300,2
l-g8j4pjn9teps,11226,615,rental unit,1.0,,2866,No sunlight data,No sunlight data available and the rent is 2866,6
l-18h54qemldf5,11238,5,rental unit,2.0,,3350,No sunlight data,No sunlight data available and the rent is 3350,5
l-7u7ehvc5p21a,11215,2R,rental unit,2.0,,3250,No sunlight data,No sunlight data available and the rent is 3250,2
l-ce404lar05gn,11238,1,rental unit,2.0,850.0,4700,Bright & sun drenched,This apartment is bright & sun-drenched and the rent is 4700,1
l-6dqs8qgtgl4i,11238,10,rental unit,2.0,,5095,No sunlight data,No sunlight data available and the rent is 5095,1
l-22radm21mj5t,11226,704,rental unit,1.0,,2875,No sunlight data,No sunlight data available and the rent is 2875,7
l-nc7cr7f64994,11238,3617,rental unit,2.0,,6245,No sunlight data,No sunlight data available and the rent is 6245,3
l-o0rngdr2memc,11226,715,rental unit,1.0,,2959,No sunlight data,No sunlight data available and the rent is 2959,7
l-rlrfiibcmrn8,11215,4R,rental unit,0.0,240.0,2025,No sunlight data,No sunlight data available and the rent is 2025,4
l-69f27upectfc,11210,806,rental unit,1.0,,3135,No sunlight data,No sunlight data available and the rent is 3135,8
l-icj3b4o09ru7,11215,5,rental unit,0.0,,2400,No sunlight data,No sunlight data available and the rent is 2400,5
l-q5q7c1heo286,11215,4,rental unit,2.0,,3999,No sunlight data,No sunlight data available and the rent is 3999,4
l-e0uuepcve088,11210,205,rental unit,0.0,,2575,No sunlight data,No sunlight data available and the rent is 2575,2
l-mk6q718m5d57,11215,24A,rental unit,2.0,,4000,No sunlight data,No sunlight data available and the rent is 4000,2
l-ce404lar05gn,11238,1,rental unit,2.0,850.0,4700,Bright & sun drenched,This apartment is bright & sun-drenched and the rent is 4700,1
l-6dqs8qgtgl4i,11238,10,rental unit,2.0,,5095,No sunlight data,No sunlight data available and the rent is 5095,1
l-22radm21mj5t,11226,704,rental unit,1.0,,2875,No sunlight data,No sunlight data available and the rent is 2875,7
l-nc7cr7f64994,11238,3617,rental unit,2.0,,6245,No sunlight data,No sunlight data available and the rent is 6245,3
l-o0rngdr2memc,11226,715,rental unit,1.0,,2959,No sunlight data,No sunlight data available and the rent is 2959,7
l-rlrfiibcmrn8,11215,4R,rental unit,0.0,240.0,2025,No sunlight data,No sunlight data available and the rent is 2025,4
l-69f27upectfc,11210,806,rental unit,1.0,,3135,No sunlight data,No sunlight data available and the rent is 3135,8
l-icj3b4o09ru7,11215,5,rental unit,0.0,,2400,No sunlight data,No sunlight data available and the rent is 2400,5
l-vr8jo0bclonq,11226,321,rental unit,1.0,,3290,No sunlight data,No sunlight data available and the rent is 3290,3
l-o45jb8pndlm4,11215,1R,rental unit,0.0,,2950,Moderate sunlight,This apartment has moderate sunlight and the rent is 2950,1
l-51kc9b891de1,11217,802,rental unit,0.0,,3300,No sunlight data,No sunlight data available and the rent is 3300,8
l-o45jb8pndlm4,11215,1R,rental unit,0.0,,2950,Moderate sunlight,This apartment has moderate sunlight and the rent is 2950,1
l-51kc9b891de1,11217,802,rental unit,0.0,,3300,No sunlight data,No sunlight data available and the rent is 3300,8
l-k7ono3chbsfj,11215,2H,rental unit,0.0,643.0,4500,No sunlight data,No sunlight data available and the rent is 4500,2
l-n2bfgcm7dsj9,11217,903,rental unit,0.0,,3300,No sunlight data,No sunlight data available and the rent is 3300,9
l-m9ivahfeodos,11218,2C,rental unit,1.0,,2850,No sunlight data,No sunlight data available and the rent is 2850,2
l-4tvl6hkreuv2,11218,2L,rental unit,2.0,,3250,No sunlight data,No sunlight data available and the rent is 3250,2
l-903f6vpli763,11217,1002,rental unit,0.0,,3400,No sunlight data,No sunlight data available and the rent is 3400,1
l-vn3p59ip8dt8,11225,PH9F,rental unit,2.0,875.0,4000,No sunlight data,No sunlight data available and the rent is 4000,9
l-ooll5mpglbis,11217,703,rental unit,0.0,,3400,No sunlight data,No sunlight data available and the rent is 3400,7
l-tikftiu0i5ja,11217,306,rental unit,0.0,,3400,No sunlight data,No sunlight data available and the rent is 3400,3
l-cpa3tvjh3aer,11215,7H,rental unit,0.0,,3422,Bright & sun drenched,This apartment is bright & sun-drenched and the rent is 3422,7
l-1g19ida1hi7m,11217,1F,rental unit,1.0,925.0,2800,Limited natural light,This apartment has limited sunlight and the rent is 2800,1
l-roflf0vtrshs,11215,3D,rental unit,1.0,500.0,2500,No sunlight data,No sunlight data available and the rent is 2500,3
l-e0uuepcve088,11210,205,rental unit,0.0,,2575,No sunlight data,No sunlight data available and the rent is 2575,2
l-o45jb8pndlm4,11215,1R,rental unit,0.0,,2950,Moderate sunlight,This apartment has moderate sunlight and the rent is 2950,1
l-q5q7c1heo286,11215,4,rental unit,2.0,,3999,No sunlight data,No sunlight data available and the rent is 3999,4
l-155vl5l7p3mt,11215,3R,rental unit,2.5,900.0,4000,Limited natural light,This apartment has limited sunlight and the rent is 4000,3
l-phubtn46t7vj,11215,2C,rental unit,4.0,,5995,Moderate sunlight,This apartment has moderate sunlight and the rent is 5995,2
l-btu3qj7k3rl,11215,4,rental unit,1.0,,2600,No sunlight data,No sunlight data available and the rent is 2600,4
l-r51ae16miros,11215,3,rental unit,1.0,800.0,2600,Bright & sun drenched,This apartment is bright & sun-drenched and the rent is 2600,3
l-1g19ida1hi7m,11217,1F,rental unit,1.0,925.0,2800,Limited natural light,This apartment has limited sunlight and the rent is 2800,1
l-9b00sipktqd1,11217,5,rental unit,1.0,,3000,No sunlight data,No sunlight data available and the rent is 3000,5
l-2k2qp70arkpo,11225,23N,rental unit,0.0,,2520,No sunlight data,No sunlight data available and the rent is 2520,2
l-blj9ljcf34ba,11215,1A,rental unit,1.0,,3150,No sunlight data,No sunlight data available and the rent is 3150,1
l-9ucjurpj44p4,11215,3C,rental unit,1.0,,3350,No sunlight data,No sunlight data available and the rent is 3350,3
l-p4e0r5rs9mej,11215,1,rental unit,1.0,710.0,3400,No sunlight data,No sunlight data available and the rent is 3400,1
l-mgaspnhp0kb9,11215,2A,rental unit,1.0,,3500,No sunlight data,No sunlight data available and the rent is 3500,2
l-roflf0vtrshs,11215,3D,rental unit,1.0,500.0,2500,No sunlight data,No sunlight data available and the rent is 2500,3
l-btu3qj7k3rl,11215,4,rental unit,1.0,,2600,No sunlight data,No sunlight data available and the rent is 2600,4
l-r51ae16miros,11215,3,rental unit,1.0,800.0,2600,Bright & sun drenched,This apartment is bright & sun-drenched and the rent is 2600,3
l-1g19ida1hi7m,11217,1F,rental unit,1.0,925.0,2800,Limited natural light,This apartment has limited sunlight and the rent is 2800,1
l-9b00sipktqd1,11217,5,rental unit,1.0,,3000,No sunlight data,No sunlight data available and the rent is 3000,5
l-ce404lar05gn,11238,1,rental unit,2.0,850.0,4700,Bright & sun drenched,This apartment is bright & sun-drenched and the rent is 4700,1
l-2k2qp70arkpo,11225,23N,rental unit,0.0,,2520,No sunlight data,No sunlight data available and the rent is 2520,2
l-blj9ljcf34ba,11215,1A,rental unit,1.0,,3150,No sunlight data,No sunlight data available and the rent is 3150,1
l-9ucjurpj44p4,11215,3C,rental unit,1.0,,3350,No sunlight data,No sunlight data available and the rent is 3350,3
l-p4e0r5rs9mej,11215,1,rental unit,1.0,710.0,3400,No sunlight data,No sunlight data available and the rent is 3400,1
l-mgaspnhp0kb9,11215,2A,rental unit,1.0,,3500,No sunlight data,No sunlight data available and the rent is 3500,2
l-gom0baesusgq,11201,3H,rental unit,1.0,750.0,3400,Limited natural light,This apartment has limited sunlight and the rent is 3400,3
l-39i6716t2u04,11201,1B,rental unit,1.0,700.0,3200,No sunlight data,No sunlight data available and the rent is 3200,1
l-n8oo4au52hda,11201,1A,rental unit,3.0,1250.0,4250,Limited natural light,This apartment has limited sunlight and the rent is 4250,1
l-oe7af3fc4dht,11201,GARDEN,rental unit,1.0,,4000,Limited natural light,This apartment has limited sunlight and the rent is 4000,
l-4avic7bv31me,11231,4,rental unit,2.0,1463.0,5000,No sunlight data,No sunlight data available and the rent is 5000,4
l-63aaco71270l,11232,4R,rental unit,2.0,,2550,No sunlight data,No sunlight data available and the rent is 2550,4
l-3gsc32anfm5v,11201,GARDENA,rental unit,2.0,,7000,No sunlight data,No sunlight data available and the rent is 7000,
l-qsarhfl62kfh,11201,2A,rental unit,1.0,,3790,No sunlight data,No sunlight data available and the rent is 3790,2
l-uch96unac55t,11219,5F,rental unit,1.0,,2400,No sunlight data,No sunlight data available and the rent is 2400,5
l-87bsceou107v,11201,1B,rental unit,2.0,1100.0,4750,No sunlight data,No sunlight data available and the rent is 4750,1
l-vabqa5dm04h2,11201,1C,rental unit,1.0,525.0,2550,Limited natural light,This apartment has limited sunlight and the rent is 2550,1
l-8703hc06koio,11215,2B,rental unit,1.0,,2975,No sunlight data,No sunlight data available and the rent is 2975,2
l-qf1t8igmk8jh,11215,4L,rental unit,1.0,,2153,No sunlight data,No sunlight data available and the rent is 2153,4
l-pgmc85hg15a6,11215,25,rental unit,1.0,,2450,No sunlight data,No sunlight data available and the rent is 2450,2
l-clnth360i8o7,11215,20,rental unit,2.0,800.0,2850,No sunlight data,No sunlight data available and the rent is 2850,2
l-l5s33iouhdc5,11215,PH03,rental unit,3.0,,8700,No sunlight data,No sunlight data available and the rent is 8700,0
l-j8896johdjl0,11215,TH01,rental unit,3.0,,8700,No sunlight data,No sunlight data available and the rent is 8700,0
l-lptb03hrtgqg,11201,10B,rental unit,1.0,,3800,Limited natural light,This apartment has limited sunlight and the rent is 3800,1
l-i5r5488dfg8b,11201,12C,rental unit,0.0,401.0,2995,Limited natural light,This apartment has limited sunlight and the rent is 2995,1
l-lb1cimrks53t,11201,4C,rental unit,2.0,1024.0,7950,No sunlight data,No sunlight data available and the rent is 7950,4
l-jlj59n0s4p5a,11201,6E,rental unit,0.0,,2900,No sunlight data,No sunlight data available and the rent is 2900,6
l-p12e1cru4a0l,11201,1,rental unit,1.0,,4200,No sunlight data,No sunlight data available and the rent is 4200,1
l-4fik7c6p0aus,11201,3R,rental unit,1.0,,2995,Moderate sunlight,This apartment has moderate sunlight and the rent is 2995,3
l-bq2g36a9odfs,11201,4A,rental unit,1.0,900.0,3850,No sunlight data,No sunlight data available and the rent is 3850,4
l-r5c8p0qlgu6s,11201,2,rental unit,1.0,700.0,3500,No sunlight data,No sunlight data available and the rent is 3500,2
l-6r32seubjbf3,11231,2,rental unit,3.0,1503.0,11000,Limited natural light,This apartment has limited sunlight and the rent is 11000,2
l-em77jnob407q,11231,2D,rental unit,3.0,1445.0,5800,No sunlight data,No sunlight data available and the rent is 5800,2
l-he4vlh22ftn5,11201,4L,rental unit,2.0,,3600,Moderate sunlight,This apartment has moderate sunlight and the rent is 3600,4
l-gf9903rh9qko,11215,12A,rental unit,2.0,,5604,No sunlight data,No sunlight data available and the rent is 5604,1
l-96kvp02r33c,11215,1A,rental unit,2.0,,4993,No sunlight data,No sunlight data available and the rent is 4993,1
l-1jv7omloed2i,11201,2R,rental unit,1.0,,3200,Limited natural light,This apartment has limited sunlight and the rent is 3200,2
l-6m8fgudj3hbj,11201,35H,rental unit,0.0,,3600,No sunlight data,No sunlight data available and the rent is 3600,3
l-1rne7h1j5d31,11201,11H,rental unit,0.0,,3550,No sunlight data,No sunlight data available and the rent is 3550,1
l-803776tr5607,11201,6M,rental unit,0.0,457.0,3450,No sunlight data,No sunlight data available and the rent is 3450,6
l-vrqgvtdthnm3,11201,10G,rental unit,1.0,756.0,4700,No sunlight data,No sunlight data available and the rent is 4700,1
l-s7555g1ge2lu,11201,25F,rental unit,1.0,708.0,4700,No sunlight data,No sunlight data available and the rent is 4700,2
l-8abub0ls145h,11217,1,rental unit,1.0,700.0,4200,No sunlight data,No sunlight data available and the rent is 4200,1
l-u78ca500udu6,11217,1,rental unit,2.0,1000.0,7000,Limited natural light,This apartment has limited sunlight and the rent is 7000,1
l-vjapagpq9r23,11217,1705,rental unit,1.0,,4100,No sunlight data,No sunlight data available and the rent is 4100,1
l-m4b7eokufkot,11217,1701,rental unit,1.0,,4000,No sunlight data,No sunlight data available and the rent is 4000,1
l-lcaat0fu8to0,11217,1001,rental unit,2.0,,5400,No sunlight data,No sunlight data available and the rent is 5400,1
l-8v3lt0gj0ldq,11217,1005,rental unit,2.0,,6150,No sunlight data,No sunlight data available and the rent is 6150,1
l-9c24nj3smmpm,11217,4R,rental unit,2.0,,4400,No sunlight data,No sunlight data available and the rent is 4400,4
l-7qjo1gt6njt3,11217,1R,rental unit,2.0,,5800,No sunlight data,No sunlight data available and the rent is 5800,1
l-d5conkb5aise,11217,3A,rental unit,1.0,,3165,No sunlight data,No sunlight data available and the rent is 3165,3
l-9j34cfp8khm5,11217,6C,rental unit,0.0,,3363,No sunlight data,No sunlight data available and the rent is 3363,6
l-44eouv6ujikk,11217,40F,rental unit,1.0,,4746,No sunlight data,No sunlight data available and the rent is 4746,4
