geoid,Zipcode,Total,"B09021001, Error",Lives alone,"B09021002, Error",Householder living with spouse or spouse of householder,"B09021003, Error",Householder living with unmarried partner or unmarried partner of householder,"B09021004, Error",Child of householder,"B09021005, Error",Other relatives,"B09021006, Error",Other nonrelatives,"B09021007, Error",18 to 34 years:,"B09021008, Error",Lives alone,"B09021009, Error",Householder living with spouse or spouse of householder,"B09021010, Error",Householder living with unmarried partner or unmarried partner of householder,"B09021011, Error",Child of householder,"B09021012, Error",Other relatives,"B09021013, Error",Other nonrelatives,"B09021014, Error",35 to 64 years:,"B09021015, Error",Lives alone,"B09021016, Error",Householder living with spouse or spouse of householder,"B09021017, Error",Householder living with unmarried partner or unmarried partner of householder,"B09021018, Error",Child of householder,"B09021019, Error",Other relatives,"B09021020, Error",Other nonrelatives,"B09021021, Error",65 years and over:,"B09021022, Error",Lives alone,"B09021023, Error",Householder living with spouse or spouse of householder,"B09021024, Error",Householder living with unmarried partner or unmarried partner of householder,"B09021025, Error",Child of householder,"B09021026, Error",Other relatives,"B09021027, Error",Other nonrelatives,"B09021028, Error"
86000US11215,11215,56580,2239,7522,704,29844,1534,5705,789,3361,557,4359,830,5789,1042,16567,1292,1880,330,4159,665,3094,538,2678,525,898,271,3858,812,32124,1618,3958,624,21217,1301,2368,483,672,191,2357,540,1552,391,7889,783,1684,317,4468,538,243,137,11,16,1104,356,379,199
86000US11216,11216,52307,2015,8639,648,13992,1111,5740,687,5328,683,8524,1262,10084,1133,23080,1285,2411,275,2814,521,3767,599,4037,654,2196,503,7855,1011,22985,1442,4183,542,9213,1011,1814,427,1167,287,4478,844,2130,436,6242,725,2045,325,1965,535,159,108,124,103,1850,448,99,86
86000US11217,11217,33427,1598,6388,614,12215,1186,4630,786,2308,805,3794,657,4092,651,12560,1148,1916,344,2241,414,2972,708,1820,765,898,235,2713,537,16385,1095,3111,459,8151,813,1489,352,454,166,2017,399,1163,255,4482,650,1361,241,1823,510,169,112,34,51,879,318,216,111
86000US11218,11218,54613,2458,6965,583,25500,1813,2770,494,7418,1113,8187,1054,3773,734,15461,1348,1107,236,3131,559,1214,367,5914,1055,1827,565,2268,567,29800,1886,3337,515,18631,1630,1356,270,1474,441,3742,586,1260,425,9352,806,2521,329,3738,556,200,112,30,30,2618,553,245,149
86000US11219,11219,55773,2047,4079,531,29650,1464,1620,502,8448,879,8692,1009,3284,699,20517,1312,332,111,8977,955,882,439,7505,850,1615,464,1206,323,24880,1586,1440,310,15890,1172,712,254,897,265,4288,654,1653,504,10376,806,2307,379,4783,692,26,30,46,52,2789,416,425,145
86000US11220,11220,70036,2406,5660,601,26184,1463,3190,568,9606,724,15885,1133,9511,1396,21855,1362,797,210,3457,510,1401,375,7877,741,4199,587,4124,729,36392,1851,2524,415,18517,1164,1575,488,1719,327,7446,724,4611,1035,11789,895,2339,379,4210,597,214,105,10,14,4240,703,776,261
86000US11221,11221,71863,3067,10098,845,15083,1433,5797,708,10105,1178,16073,1414,14707,1506,33119,2177,2821,475,2265,379,3436,604,7801,1121,4707,881,12089,1387,30039,1559,4489,592,10203,1298,2163,444,2186,452,8532,903,2466,546,8705,776,2788,433,2615,490,198,110,118,82,2834,443,152,85
86000US11222,11222,34381,1347,6023,486,11698,887,5038,648,1816,301,2752,372,7054,1168,14885,1057,1853,304,2773,465,3131,527,1239,236,440,164,5449,1017,15523,899,2645,327,7634,742,1827,473,535,175,1550,255,1332,373,3973,404,1525,273,1291,337,80,68,42,49,762,178,273,177
86000US11223,11223,61612,2148,6304,559,29608,1535,2289,503,8687,892,12154,1245,2570,474,16997,1260,609,194,4730,574,934,337,7279,814,2493,512,952,318,31525,1403,2301,357,19439,1276,1221,360,1369,326,5939,670,1256,321,13090,851,3394,383,5439,612,134,96,39,30,3722,623,362,173
86000US11224,11224,37288,2005,6272,606,13810,1558,1774,531,6586,920,7604,1182,1242,495,8547,1145,368,181,1063,321,426,228,4639,848,1705,539,346,193,16112,1285,1672,368,7205,1016,772,361,1909,413,3945,632,609,303,12629,846,4232,518,5542,902,576,283,38,39,1954,557,287,193
86000US11225,11225,48984,2424,8978,807,12766,1144,3832,700,6997,1282,10241,1107,6170,1023,18374,1423,1596,301,2218,475,2075,480,5137,1161,2762,600,4586,873,21196,1433,4188,686,7943,1073,1601,457,1815,407,4358,647,1291,419,9414,893,3194,502,2605,435,156,116,45,70,3121,634,293,164
86000US11226,11226,78956,3198,11590,740,20624,1690,4652,790,13136,1169,20512,1623,8442,1194,28997,1638,2863,384,3222,569,2011,441,9881,913,5571,769,5449,891,37606,1879,5580,615,13859,1276,2391,558,3213,632,10028,1072,2535,692,12353,921,3147,417,3543,590,250,118,42,71,4913,607,458,188
86000US11228,11228,36441,1651,3359,387,16566,914,1020,315,5472,609,8082,886,1942,506,9538,822,228,90,1716,290,245,105,4440,527,2157,538,752,309,18128,1022,1419,335,10807,802,663,264,1008,220,3369,430,862,252,8775,682,1712,240,4043,518,112,58,24,35,2556,474,328,112
86000US11229,11229,65713,1847,8525,718,31921,1378,2386,635,9606,757,10901,1032,2374,489,17035,1082,627,155,4045,537,770,270,8287,725,2339,377,967,345,32391,1405,3075,349,20366,1097,1260,541,1306,226,5458,649,926,186,16287,804,4823,531,7510,645,356,159,13,15,3104,408,481,159
86000US11230,11230,65760,2027,9569,588,31243,1821,1817,435,10124,777,9769,1026,3238,942,20188,1191,944,212,6500,867,726,237,8385,684,2155,441,1478,584,30431,1300,3398,499,18044,1290,974,347,1666,414,5013,591,1336,378,15141,1013,5227,462,6699,766,117,105,73,60,2601,450,424,189
